xflr5 v6.57

Plane Name
y
QInf  =  200.000000 m/s
Alpha =    2.000000
Beta  =    0.000�
Phi   =    0.000�
Ctrl  =    0.000
CL    =    0.470932
Cy    =    0.000000
Cd    =    0.012150     ICd   =    0.006955     PCd   =    0.005195
Cl   = -6.31042e-18
Cm   =   -0.205888
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    5.166779     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending = 246738591.062605

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -62.5207    10.8993    -3.499    0.176139    0.005020    0.010757   -0.122669   -0.079509     0.0082    0.0093    0.7568    0.0000
  -60.2019    10.9685    -2.379    0.305346    0.005069    0.012678   -0.156415   -0.081319     0.0064    0.0095    0.5259   168946.2177
  -56.4007    11.0819    -1.646    0.389616    0.005125    0.011192   -0.178868   -0.082470     0.0059    0.0097    0.4644   1400316.6393
  -51.2108    11.2368    -1.188    0.442180    0.005168    0.009167   -0.193473   -0.083175     0.0059    0.0098    0.4389   5549675.5479
  -44.7599    11.4293    -0.908    0.474228    0.005197    0.007516   -0.203084   -0.083599     0.0059    0.0100    0.4253   15277905.7360
  -37.2068    11.6548    -0.741    0.493341    0.005219    0.006377   -0.209597   -0.083844     0.0059    0.0101    0.4196   33691136.5314
  -28.7376    11.9075    -0.646    0.504140    0.005231    0.005685   -0.214152   -0.083982     0.0059    0.0102    0.4164   63895531.1999
  -19.5608    12.1814    -0.603    0.509101    0.005236    0.005355   -0.217318   -0.084046     0.0059    0.0103    0.4150   108531820.1452
   -9.9023    12.4697    -0.600    0.509433    0.005237    0.005332   -0.219327   -0.084050     0.0059    0.0103    0.4149   169331232.4551
   -0.0000    12.7652    -0.647    0.504083    0.005231    0.005689   -0.219784   -0.083982     0.0059    0.0102    0.4164   246738591.0626
    9.9023    12.4697    -0.600    0.509433    0.005237    0.005332   -0.219327   -0.084050     0.0059    0.0103    0.4149   169331232.4551
   19.5608    12.1814    -0.603    0.509101    0.005236    0.005355   -0.217318   -0.084046     0.0059    0.0103    0.4150   108531820.1452
   28.7376    11.9075    -0.646    0.504140    0.005231    0.005685   -0.214152   -0.083982     0.0059    0.0102    0.4164   63895531.1999
   37.2068    11.6548    -0.741    0.493341    0.005219    0.006377   -0.209597   -0.083844     0.0059    0.0101    0.4196   33691136.5314
   44.7599    11.4293    -0.908    0.474228    0.005197    0.007516   -0.203084   -0.083599     0.0059    0.0100    0.4253   15277905.7360
   51.2108    11.2368    -1.188    0.442180    0.005168    0.009167   -0.193473   -0.083175     0.0059    0.0098    0.4389   5549675.5479
   56.4007    11.0819    -1.646    0.389616    0.005125    0.011192   -0.178868   -0.082470     0.0059    0.0097    0.4644   1400316.6393
   60.2019    10.9685    -2.379    0.305346    0.005069    0.012678   -0.156415   -0.081319     0.0064    0.0095    0.5259   168946.2177
   62.5207    10.8993    -3.499    0.176139    0.005020    0.010757   -0.122669   -0.079509     0.0082    0.0093    0.7568    0.0000




